issue,date,url
5/22/1861,5/24/1861,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA946&img=1&zoom=3&hl=en&sig=ACfU3U0-wuOYsZNEbnAFj-kDVcUqM0cv9A&ci=145%2C691%2C750%2C165&edge=0
6/24/1861,9/24/1861,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA317&img=1&zoom=3&hl=en&sig=ACfU3U0CzW5hK0ZEolVJFGZGr-78R7D4pg&ci=117%2C862%2C812%2C203&edge=0
7/24/1861,9/24/1861,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA317&img=1&zoom=3&hl=en&sig=ACfU3U0CzW5hK0ZEolVJFGZGr-78R7D4pg&ci=117%2C862%2C812%2C203&edge=0
8/24/1861,9/24/1861,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA317&img=1&zoom=3&hl=en&sig=ACfU3U0CzW5hK0ZEolVJFGZGr-78R7D4pg&ci=117%2C862%2C812%2C203&edge=0
9/24/1861,9/24/1861,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA317&img=1&zoom=3&hl=en&sig=ACfU3U0CzW5hK0ZEolVJFGZGr-78R7D4pg&ci=117%2C862%2C812%2C203&edge=0
10/24/1861,1/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA654&img=1&zoom=3&hl=en&sig=ACfU3U1sObMahAGk1hSxbyH_KFVIwp9cXQ&ci=78%2C713%2C839%2C193&edge=0
11/25/1861,1/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA654&img=1&zoom=3&hl=en&sig=ACfU3U1sObMahAGk1hSxbyH_KFVIwp9cXQ&ci=78%2C713%2C839%2C193&edge=0
12/24/1861,1/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA654&img=1&zoom=3&hl=en&sig=ACfU3U1sObMahAGk1hSxbyH_KFVIwp9cXQ&ci=78%2C713%2C839%2C193&edge=0
1/24/1862,1/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA654&img=1&zoom=3&hl=en&sig=ACfU3U1sObMahAGk1hSxbyH_KFVIwp9cXQ&ci=78%2C713%2C839%2C193&edge=0
2/22/1862,4/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA910&img=1&zoom=3&hl=en&sig=ACfU3U3FmZlwAmTdL0xVVxmKt4pso3ij8w&ci=67%2C484%2C866%2C201&edge=0
3/22/1862,4/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA910&img=1&zoom=3&hl=en&sig=ACfU3U3FmZlwAmTdL0xVVxmKt4pso3ij8w&ci=67%2C484%2C866%2C201&edge=0
4/22/1862,4/24/1862,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA910&img=1&zoom=3&hl=en&sig=ACfU3U3FmZlwAmTdL0xVVxmKt4pso3ij8w&ci=67%2C484%2C866%2C201&edge=0
5/22/1862,7/23/1862,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA166&img=1&zoom=3&hl=en&sig=ACfU3U1-ASX_jM66wgkvghYq9pyhgF_Vyg&ci=85%2C1163%2C819%2C185&edge=0
6/22/1862,7/23/1862,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA166&img=1&zoom=3&hl=en&sig=ACfU3U1-ASX_jM66wgkvghYq9pyhgF_Vyg&ci=85%2C1163%2C819%2C185&edge=0
7/23/1862,7/23/1862,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA166&img=1&zoom=3&hl=en&sig=ACfU3U1-ASX_jM66wgkvghYq9pyhgF_Vyg&ci=85%2C1163%2C819%2C185&edge=0
8/23/1862,9/23/1862,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA317&img=1&zoom=3&hl=en&sig=ACfU3U1xh59A3nQxHsR5c_PnKPLkLGocnA&ci=117%2C700%2C799%2C184&edge=0
9/23/1862,9/23/1862,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA317&img=1&zoom=3&hl=en&sig=ACfU3U1xh59A3nQxHsR5c_PnKPLkLGocnA&ci=117%2C700%2C799%2C184&edge=0
