"series","date","issue","url","volume","value","is_clean"
"north_carolina_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,99,0
"ohio_6pct_1874","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,114,0
"pennsylvania_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,85,0
"US_6pct_1868","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,117.75,0
"virginia_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,97,0
"california_7pct_1870","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,84,0
"georgia_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,96.25,0
"indiana_5pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,80.25,0
"kentucky_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,101,0
"louisiana_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,90,0
"missouri_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,87,0
"north_carolina_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,98.5,0
"ohio_6pct_1874","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,115,0
"pennsylvania_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,85.5,0
"US_6pct_1868","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,117.75,0
"virginia_6pct","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,96.25,0
"california_7pct_1870","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,85,0
"georgia_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,99,0
"indiana_5pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,80.25,0
"kentucky_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,101.5,0
"louisiana_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,86,0
"missouri_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,87,0
"north_carolina_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,98.5,0
"ohio_6pct_1874","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,118,0
"pennsylvania_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,83,0
"US_6pct_1868","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,117.5,0
"virginia_6pct","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,95.75,0
"california_7pct_1870","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,87,0
"georgia_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,100,0
"indiana_5pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,79.75,0
"kentucky_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,102,0
"louisiana_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,88.5,0
"missouri_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,86,0
"north_carolina_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,97.5,0
"ohio_6pct_1874","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,113,0
"pennsylvania_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,83.5,0
"US_6pct_1868","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,118,0
"virginia_6pct","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,94,0
"california_7pct_1870","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,84.5,0
"georgia_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,,0
"indiana_5pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,79,0
"kentucky_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,102,0
"louisiana_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,,0
"missouri_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,86,0
"north_carolina_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,97,0
"ohio_6pct_1874","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,112,0
