"bidder_num","price","amount","accepted","auction","coupon_yield","yield","ytm"
73,90.03,15,0,"1861-02-13; Loan of Feb 1861",0.0666444518493835,0.0689579641983409,
73,90.05,15,0,"1861-02-13; Loan of Feb 1861",0.0666296501943365,0.068938254508524,
73,90.1,5,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0688890071912877,
74,90,2,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
75,90,2500,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
76,90,7,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
77,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
78,90,12,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
79,90,5,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
80,90,13,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
81,90,2,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
82,90,30,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
83,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
84,90,150,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
85,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
86,90,5,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
87,88,6,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
87,90,6,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
87,92,6,6,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
88,90,7,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
89,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
90,90,5,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
91,90,1,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
92,90,40,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
93,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
94,88.06,38,0,"1861-02-13; Loan of Feb 1861",0.0681353622530093,0.0709301269460482,
94,89.06,43,0,"1861-02-13; Loan of Feb 1861",0.067370312149113,0.069921343350919,
94,90.15,135,132,"1861-02-13; Loan of Feb 1861",0.0665557404326123,0.0688397982675546,
94,90.56,25,25,"1861-02-13; Loan of Feb 1861",0.0662544169611307,0.0684377260404384,
95,89,5,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
95,90.1,5,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0688890071912877,
96,88.03,10,0,"1861-02-13; Loan of Feb 1861",0.0681585823014881,0.0709606402320608,
96,89.68,5,0,"1861-02-13; Loan of Feb 1861",0.0669045495093666,0.0693038834854957,
96,90.27,5,5,"1861-02-13; Loan of Feb 1861",0.0664672648720505,0.0687218531565455,
96,91.38,5,5,"1861-02-13; Loan of Feb 1861",0.0656598818122127,0.0676411914542788,
97,88,10,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
97,89,20,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
97,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
