"bond","date","issue","url","value","notes"
"sixes_1881_coup","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",98.875,
"sixes_1881_reg","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",93.875,
"aug_demand","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",0,
"fives_1874","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",89.75,
"gold","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",102.625,
"oneyr_old","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",99.25,
"seven_thirties","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",102.5,
"sixes_1881_coup","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",98.25,
"sixes_1881_reg","1862-04-30","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",97.875,
"aug_demand","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",0.25,
"fives_1874","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",94,
"gold","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",102.75,
"oneyr_old","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",99.875,
"seven_thirties","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",104,
"sixes_1881_coup","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103,
"sixes_1881_reg","1862-05-10","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103.5,
"aug_demand","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",0.625,
"fives_1874","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",96,
"gold","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103,
"oneyr_old","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100.125,
"seven_thirties","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",105,
"sixes_1881_coup","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",105,
"sixes_1881_reg","1862-05-17","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",105,
"aug_demand","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",0.625,
"fives_1874","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",96,
"gold","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103.5,
"oneyr_old","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100.5,
"seven_thirties","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",105,
"sixes_1881_coup","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",104.5,
"sixes_1881_reg","1862-05-23","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",104.5,
"aug_demand","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",0.625,
"fives_1874","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",96,
"gold","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103.75,
"oneyr_old","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100,
"seven_thirties","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",105,
"sixes_1881_coup","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",104.5,
"sixes_1881_reg","1862-05-31","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",104.5,
"aug_demand","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",1,
"fives_1874","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",96,
"gold","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",104.25,
"oneyr_old","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100.25,
"seven_thirties","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",106.25,
"sixes_1881_coup","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",106,
"sixes_1881_reg","1862-06-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103,
"aug_demand","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",3,
"fives_1874","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",97.75,
"gold","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",106.875,
"oneyr_old","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100.5,
"seven_thirties","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",106.25,
"sixes_1881_coup","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",107.125,
"sixes_1881_reg","1862-06-14","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",103.875,
