"series","date","price","price_clean","price_orig","gold_rate","accrued_interest","current_yield1","current_yield2","ytm1","duration1","convexity1","maturity1","ytm2","duration2","convexity2","maturity2","ytm3","duration3","convexity3","maturity3","ytm4","duration4","convexity4","maturity4","ytm5","duration5","convexity5","maturity5","govt_rate","ytm6","duration6","convexity6","maturity6","registered"
"6's, 1881 Coup.","1865-02-11",53.4131135539883,52.7335555429386,53.4131135539883,2.07112060389784,0.679558011049724,0.113779545836132,0.0549362241976636,0.0283192150190227,3.07361765183276,9.96900213445527,3.34192328767123,0.271252448820837,2.91906269605131,9.31829515243686,3.34192328767123,0.231255132281065,2.91903727460983,9.31821119566504,3.34192328767123,0.221255403427371,2.91903472453042,9.3182028004439,3.34192328767123,0.211255827369696,2.91903071440071,9.31818956523077,3.34192328767123,0.0263552690476547,0.244705580850079,2.91919406110404,9.31885992597267,3.34192328767123,0
"6's, 1881 Coup.","1865-02-18",54.3006224239189,53.5050423134217,54.3006224239189,2.04877946207474,0.795580110497238,0.112138963742019,0.0547345216104711,0.0266496233121323,3.05527938593309,9.85502542324252,3.32274520547945,0.267362479369544,2.90291962777934,9.21924128354946,3.32274520547945,0.227364857020915,2.90289733079082,9.21916802829787,3.32274520547945,0.2173650926097,2.90289513610825,9.21916083858126,3.32274520547945,0.207365447041092,2.90289181317256,9.21914992245329,3.32274520547945,0.0245647153783693,0.242412390668527,2.90320333301939,9.22042735296706,3.32274520547945,0
"6's, 1881 Coup.","1865-02-25",55.760385702755,54.8487834928102,55.760385702755,1.99066054872206,0.911602209944751,0.109391669567047,0.054952447637179,0.0275601558541833,3.03564265169856,9.73628382878742,3.30356712328767,0.259940220783475,2.88947336224101,9.13173590661897,3.30356712328767,0.219942101774313,2.88945589060329,9.13167881310249,3.30356712328767,0.209942510826969,2.88945206898199,9.13166629365801,3.30356712328767,0.199942509947232,2.88945208763711,9.13166636940132,3.30356712328767,0.0255191706178989,0.234032656628662,2.88975860990743,9.13291519945076,3.30356712328767,0
"6's, 1881 Coup.","1865-03-01",55.3026329634268,54.3247324109406,55.3026329634268,2.00261712807132,0.977900552486188,0.110446931512021,0.0551512967525599,0.0284067447718986,3.02425688411409,9.66809146571149,3.29260821917808,0.263802756391919,2.8755464126336,9.05644134740819,3.29260821917808,0.223804882210213,2.87552680532157,9.05637745349494,3.29260821917808,0.213805395683462,2.87552206632476,9.05636200636683,3.29260821917808,0.20380538270788,2.87552216861045,9.05636231527975,3.29260821917808,0.0264122856567108,0.236999522007737,2.87583382744096,9.05762416273632,3.29260821917808,0
"6's, 1881 Coup.","1865-03-08",56.4068650102857,55.312942358352,56.4068650102857,1.97006162245919,1.0939226519337,0.108473708759303,0.0550610739901108,0.027461221885397,3.00555449365359,9.55442257617894,3.2734301369863,0.258650676866118,2.86033248002099,8.96251321003825,3.2734301369863,0.21865248471064,2.86031597256721,8.96245970456931,3.2734301369863,0.208652870971228,2.86031239689924,8.96244804702039,3.2734301369863,0.198652870579221,2.86031241244585,8.96244811405373,3.2734301369863,0.0253906326331416,0.233458511302682,2.86016878181362,8.96186288935106,3.2734301369863,0
"6's, 1881 Coup.","1865-03-15",62.1359885090758,60.9260437576946,62.1359885090758,1.77031061449892,1.20994475138122,0.0984800526990108,0.0556286856625357,0.0310517252094645,2.98456298403539,9.43209674763185,3.25425205479452,0.22643669555084,2.86514468062906,8.94919769298366,3.25425205479452,0.186437279523973,2.86513932447175,8.94918037162283,3.25425205479452,0.176438231354318,2.86513061526648,8.94915223529868,3.25425205479452,0.166437763566438,2.86513491029238,8.94916613122805,3.25425205479452,0.0292021626624676,0.197235116688284,2.86513931383314,8.94918032052819,3.25425205479452,0
"6's, 1881 Coup.","1865-03-22",66.7197050915245,65.3937382406958,66.7197050915245,1.57374796330355,1.32596685082873,0.0917519041030458,0.0583015236508671,0.0469868443152037,2.95721391915456,9.28491650860849,3.23507397260274,0.202985124932063,2.86261354356983,8.90583699920487,3.23507397260274,0.162985517777191,2.86261004311684,8.90582585213833,3.23507397260274,0.152983714586562,2.86262260246524,8.90586099528104,3.23507397260274,0.142968390905666,2.86277226890047,8.90635574351414,3.23507397260274,0.0461776758154673,0.156807718205297,2.86261117564513,8.90582949983694,3.23507397260274,0
"6's, 1881 Coup.","1865-03-29",69.0568109113793,67.6148219611031,69.0568109113793,1.52048724252191,1.44198895027624,0.0887379397885812,0.0583615155109087,0.0472939107388724,2.9378751669729,9.17121453358016,3.21589589041096,0.192243020420231,2.85083873469813,8.82559623069834,3.21589589041096,0.152241117596407,2.8508509786931,8.82562876125682,3.21589589041096,0.14222335286314,2.85102182740448,8.82618899859805,3.21589589041096,0.132263855669493,2.85065388860346,8.82500961671056,3.21589589041096,0.0464991595921113,0.145731358015137,2.85095790309433,8.82598564968862,3.21589589041096,0
"6's, 1881 Coup.","1865-04-12",73.852154966443,72.1781218172717,73.852154966443,1.45561087620051,1.67403314917127,0.0831276825848943,0.0571084511280084,0.0397973632812086,2.90338722672591,8.96252464377421,3.1775397260274,0.171013789565543,2.82669930095266,8.663426344381,3.1775397260274,0.131031227743897,2.82654709827866,8.66294821606151,3.1775397260274,0.121023215941814,2.82661723352513,8.66316881662718,3.1775397260274,0.111018521686118,2.82665826213087,8.66329777883125,3.1775397260274,0.0384839865315077,0.132548848775008,2.82653301572504,8.66290390780786,3.1775397260274,0
"6's, 1881 Coup.","1865-04-26",71.9872534058277,70.0811760577614,71.9872534058277,1.51242053070448,1.9060773480663,0.0856150015955034,0.0566079340086876,0.0358879723520923,2.86703152527879,8.74898160236539,3.13918356164384,0.182578954057779,2.78067734580036,8.41895220764558,3.13918356164384,0.142553368719447,2.78090221137687,8.41966044504182,3.13918356164384,0.132596492544998,2.78052874604083,8.41849120861366,3.13918356164384,0.122588801709864,2.78059412059807,8.41869429978294,3.13918356164384,0.0342861992880397,0.148070191506525,2.78095792022978,8.41992858867686,3.13918356164384,0
