"date","issue","url","type","rate_low","rate_high"
1860-10-15,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","7","8"
1860-11-01,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","7","8"
1860-11-15,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","7","9"
1860-12-01,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","9","10"
1860-12-15,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","9","11"
1861-01-01,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","8","10"
1861-01-15,"Feb 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198","on_call_other","6","7"
1861-02-01,"May 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667","on_call_other","6","7"
1861-02-15,"May 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667","on_call_other",".","7"
1861-03-01,"May 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667","on_call_other","6.5","7"
1861-03-15,"May 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667","on_call_other","6","7"
1861-04-01,"May 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667","on_call_other","6","6.5"
1861-04-15,"May 1861","http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667","on_call_other","6","6.5"
1861-10-01,"Mar 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311","on_call_other","6","7"
1861-11-01,"Mar 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311","on_call_other","6","7"
1861-12-01,"Mar 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311","on_call_other",".","7"
1862-01-01,"Mar 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311","on_call_other","7","."
1862-02-01,"Mar 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311","on_call_other","7","."
1862-02-15,"Mar 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311","on_call_other","6","7"
1862-03-01,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-03-15,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-03-22,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-03-29,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-04-05,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-04-12,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-04-19,"May 1862","http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506","on_call_other","7","."
1862-04-26,"Jul 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34","on_call_other","7","."
1862-05-02,"Jul 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34","on_call_other","7","."
1862-05-10,"Jul 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34","on_call_other","7","."
1862-05-17,"Jul 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34","on_call_other","7","."
1862-05-24,"Jul 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34","on_call_other","6","."
1862-05-31,"Jul 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34","on_call_other","6","."
