"series","date","price","price_clean","price_orig","gold_rate","accrued_interest","current_yield_currency","current_yield_gold","ytm_currency","duration_currency","convexity_currency","maturity","ytm_gold","duration_gold","convexity_gold","ytm_gold4pct","duration_gold4pct","convexity_gold4pct","ytm_gold5pct","duration_gold5pct","convexity_gold5pct","ytm_gold6pct","duration_gold6pct","convexity_gold6pct","ytm_gold1879","duration_gold1879","convexity_gold1879","ytm_actual","duration_actual","convexity_actual"
"Tennessee 6 per cents","1859-10-21",89.25,87.4239130434783,89.25,1,1.82608695652174,0.0686311077955987,0.0686311077955987,0.0689451730657738,12.8645336326097,263.077251537,29.2143835616438,0.0689451730657738,12.8645336326097,263.077251537,0.0689451730657738,12.8645336326097,263.077251537,0.0689451730657738,12.8645336326097,263.077251537,0.0689451730657738,12.8645336326097,263.077251537,0.0689451730657738,12.8645336326097,263.077251537,0.0849951112054038,10.5274025676706,188.856164566514
"Tennessee 6 per cents","1859-10-28",90,88.0597826086957,90,1,1.94021739130435,0.0681355304573227,0.0681355304573227,0.0684023636979784,12.897219294379,264.179462570513,29.195205479452,0.0684023636979784,12.897219294379,264.179462570513,0.0684023636979784,12.897219294379,264.179462570513,0.0684023636979784,12.897219294379,264.179462570513,0.0684023636979784,12.897219294379,264.179462570513,0.0684023636979784,12.897219294379,264.179462570513,0.0843562296254743,10.558024048356,189.927116388269
"Tennessee 6 per cents","1859-11-04",90.25,88.195652173913,90.25,1,2.05434782608696,0.0680305644564949,0.0680305644564949,0.0682883593771703,12.889246327287,264.027741605128,29.1760273972602,0.0682883593771703,12.889246327287,264.027741605128,0.0682883593771703,12.889246327287,264.027741605128,0.0682883593771703,12.889246327287,264.027741605128,0.0682883593771703,12.889246327287,264.027741605128,0.0682883593771703,12.889246327287,264.027741605128,0.0842467358029413,10.5474100269837,189.7761410681
"Tennessee 6 per cents","1859-11-11",90.25,88.0815217391304,90.25,1,2.16847826086957,0.0681187141358672,0.0681187141358672,0.0683907540584584,12.8599909855804,263.226267326669,29.1568493150684,0.0683907540584584,12.8599909855804,263.226267326669,0.0683907540584584,12.8599909855804,263.226267326669,0.0683907540584584,12.8599909855804,263.226267326669,0.0683907540584584,12.8599909855804,263.226267326669,0.0683907540584584,12.8599909855804,263.226267326669,0.0844001300884016,10.5162417274026,189.017915871679
"Tennessee 6 per cents","1859-11-18",90.75,88.4673913043478,90.75,1,2.28260869565217,0.0678215997051235,0.0678215997051235,0.0680613733746918,12.8732244607432,263.72179834677,29.1376712328768,0.0680613733746918,12.8732244607432,263.72179834677,0.0680613733746918,12.8732244607432,263.72179834677,0.0680613733746918,12.8732244607432,263.72179834677,0.0680613733746918,12.8732244607432,263.72179834677,0.0680613733746918,12.8732244607432,263.72179834677,0.0840289985937852,10.5261079229781,189.472415873655
"Tennessee 6 per cents","1859-11-25",90.5,88.1032608695652,90.5,1,2.39673913043478,0.0681019061131331,0.0681019061131331,0.0683796521015797,12.8227176603684,262.274438399533,29.118493150685,0.0683796521015797,12.8227176603684,262.274438399533,0.0683796521015797,12.8227176603684,262.274438399533,0.0683796521015797,12.8227176603684,262.274438399533,0.0683796521015797,12.8227176603684,262.274438399533,0.0683796521015797,12.8227176603684,262.274438399533,0.0844451043731327,10.4743761829579,188.10975222073
"Tennessee 6 per cents","1859-12-02",91.25,88.7391304347826,91.25,1,2.51086956521739,0.0676139147476727,0.0676139147476727,0.0678352807954951,12.8572278162269,263.415720704349,29.0993150684932,0.0678352807954951,12.8572278162269,263.415720704349,0.0678352807954951,12.8572278162269,263.415720704349,0.0678352807954951,12.8572278162269,263.415720704349,0.0678352807954951,12.8572278162269,263.415720704349,0.0678352807954951,12.8572278162269,263.415720704349,0.0838129112675255,10.5047077815786,189.166360898813
"Tennessee 6 per cents","1859-12-09",90,87.375,90,1,2.625,0.0686695278969957,0.0686695278969957,0.0690158461634344,12.7232877308452,259.430326131621,29.0801369863014,0.0690158461634344,12.7232877308452,259.430326131621,0.0690158461634344,12.7232877308452,259.430326131621,0.0690158461634344,12.7232877308452,259.430326131621,0.0690158461634344,12.7232877308452,259.430326131621,0.0690158461634344,12.7232877308452,259.430326131621,0.0852880094340838,10.3704263366127,185.382554569689
"Tennessee 6 per cents","1859-12-16",90,87.2608695652174,90,1,2.73913043478261,0.0687593423019432,0.0687593423019432,0.0691207222122402,12.6938188144004,258.631177948521,29.0609589041096,0.0691207222122402,12.6938188144004,258.631177948521,0.0691207222122402,12.6938188144004,258.631177948521,0.0691207222122402,12.6938188144004,258.631177948521,0.0691207222122402,12.6938188144004,258.631177948521,0.0691207222122402,12.6938188144004,258.631177948521,0.0854459573949435,10.3390095655088,184.626996528292
"Tennessee 6 per cents","1859-12-23",90,87.1467391304348,90,1,2.85326086956522,0.0688493919550982,0.0688493919550982,0.0692257093125408,12.6643975069673,257.834678649759,29.0417808219179,0.0692257093125408,12.6643975069673,257.834678649759,0.0692257093125408,12.6643975069673,257.834678649759,0.0692257093125408,12.6643975069673,257.834678649759,0.0692257093125408,12.6643975069673,257.834678649759,0.0692257093125408,12.6643975069673,257.834678649759,0.0856046808808269,10.3075490202385,183.871967470241
"Tennessee 6 per cents","1859-12-30",91,88.0326086956522,91,1,2.96739130434783,0.068156562538585,0.068156562538585,0.068462573903225,12.7186752164704,259.578344706695,29.0226027397261,0.068462573903225,12.7186752164704,259.578344706695,0.068462573903225,12.7186752164704,259.578344706695,0.068462573903225,12.7186752164704,259.578344706695,0.068462573903225,12.7186752164704,259.578344706695,0.068462573903225,12.7186752164704,259.578344706695,0.0846945808811997,10.3590281882582,185.542078685925
"Tennessee 6 per cents","1860-01-06",85.75,85.6675824175824,85.75,1,0.0824175824175824,0.0700381618189398,0.0700381618189398,0.0705511983005788,12.9354621748746,261.8422243695,29.0034246575343,0.0705511983005788,12.9354621748746,261.8422243695,0.0705511983005788,12.9354621748746,261.8422243695,0.0705511983005788,12.9354621748746,261.8422243695,0.0705511983005788,12.9354621748746,261.8422243695,0.0705511983005788,12.9354621748746,261.8422243695,0.0872908477537019,10.4953889693316,185.597219563975
"Tennessee 6 per cents","1860-01-13",84.875,84.6771978021978,84.875,1,0.197802197802198,0.0708573282504664,0.0708573282504664,0.0714533362054549,12.8315678731443,258.74777261835,28.9842465753424,0.0714533362054549,12.8315678731443,258.74777261835,0.0714533362054549,12.8315678731443,258.74777261835,0.0714533362054549,12.8315678731443,258.74777261835,0.0714533362054549,12.8315678731443,258.74777261835,0.0714533362054549,12.8315678731443,258.74777261835,0.088432660814354,10.3908369231239,182.673641768826
