"date","price"
1861-09-28,0.887007146235324
1861-09-29,0.885320978762835
1861-09-30,0.883638016631765
1861-10-01,0.88195825374888
1861-10-02,0.880201047908148
1861-10-03,0.878447343108825
1861-10-04,0.876697132375466
1861-10-05,0.874855821831544
1861-10-06,0.873018378557622
1861-10-07,0.871184794431345
1861-10-08,0.869355061347419
1861-10-09,0.86752917121757
1861-10-10,0.865707115970515
1861-10-11,0.863888887551922
1861-10-12,0.861976228670517
1861-10-13,0.860067804435546
1861-10-14,0.858163605471458
1861-10-15,0.856263622423459
1861-10-16,0.854271955808229
1861-10-17,0.852284921803567
1861-10-18,0.850302509634034
1861-10-19,0.848222669269007
1861-10-20,0.846147916194557
1861-10-21,0.844078237967167
1861-10-22,0.84201362217376
1861-10-23,0.839954056431618
1861-10-24,0.837899528388315
1861-10-25,0.835850025721637
1861-10-26,0.833685412811868
1861-10-27,0.831526405631482
1861-10-28,0.82937298966324
1861-10-29,0.827225150427501
1861-10-30,0.825082873482118
1861-10-31,0.822946144422348
1861-11-01,0.820814948880752
1861-11-02,0.818572347170437
1861-11-03,0.816335872617575
1861-11-04,0.814105508481761
1861-11-05,0.811881238068329
1861-11-06,0.809663044728226
1861-11-07,0.807450911857885
1861-11-08,0.805244822899105
1861-11-09,0.802917136645292
1861-11-10,0.800596178933089
1861-11-11,0.79828193031259
1861-11-12,0.795974371390118
1861-11-13,0.793673482828051
1861-11-14,0.791379245344669
1861-11-15,0.789091639713987
1861-11-16,0.786685920506099
1861-11-17,0.784287535661694
1861-11-18,0.781896462820354
1861-11-19,0.779512679689831
1861-11-20,0.77713616404584
1861-11-21,0.774766893731853
1861-11-22,0.772404846658889
1861-11-23,0.769914847700612
1861-11-24,0.76743287574377
1861-11-25,0.764958904911744
1861-11-26,0.762492909411335
1861-11-27,0.760034863532493
1861-11-28,0.757584741648048
1861-11-29,0.755142518213447
1861-11-30,0.752557041757781
1861-12-01,0.749980417523176
1861-12-02,0.747272663766955
1861-12-03,0.744574686173196
1861-12-04,0.741886449445721
1861-12-05,0.739207918415791
1861-12-06,0.736539058041638
1861-12-07,0.733713730731559
1861-12-08,0.730899241236965
1861-12-09,0.728095547984534
1861-12-10,0.725302609560416
1861-12-11,0.722520384709623
1861-12-12,0.71974883233542
1861-12-13,0.716987911498713
1861-12-14,0.714068270625004
1861-12-15,0.71116051879809
1861-12-16,0.708094410435681
1861-12-17,0.705041521339867
1861-12-18,0.7020017945169
1861-12-19,0.698975173218755
1861-12-20,0.695961600942071
1861-12-21,0.692778121941318
1861-12-22,0.689609204862565
1861-12-23,0.68645478309643
1861-12-24,0.683314790338215
1861-12-25,0.680189160586514
1861-12-26,0.677077828141828
1861-12-27,0.673980727605178
1861-12-28,0.670712141810618
1861-12-29,0.667459407586673
1861-12-30,0.664222448058416
1861-12-31,0.661001186723739
1862-01-01,0.657795547451546
1862-01-02,0.655049335040487
1862-01-03,0.652314587715557
1862-01-04,0.649403047585534
1862-01-05,0.646504502820154
1862-01-06,0.643618895415921
1862-01-07,0.640746167628234
1862-01-08,0.637886261970227
1862-01-09,0.635039121211624
1862-01-10,0.632204688377588
1862-01-11,0.6297876115815
1862-01-12,0.627379775875119
1862-01-13,0.624981145927444
1862-01-14,0.622591686542557
1862-01-15,0.620211362659099
1862-01-16,0.617677694452264
1862-01-17,0.615154376708141
1862-01-18,0.612458759726556
1862-01-19,0.609774954984609
1862-01-20,0.607102910720862
1862-01-21,0.605378384527296
1862-01-22,0.603658756993479
1862-01-23,0.601944014204361
1862-01-24,0.600234142284421
1862-01-25,0.598344873089955
1862-01-26,0.59646155047173
1862-01-27,0.594584155712577
1862-01-28,0.592712670154242
1862-01-29,0.590847075197197
1862-01-30,0.588987352300459
1862-01-31,0.587133482981403
1862-02-01,0.585103741490898
1862-02-02,0.58343968636522
1862-02-03,0.581780363869442
1862-02-04,0.580125760543801
1862-02-05,0.578475862966816
1862-02-06,0.576830657755176
1862-02-07,0.575190131563634
1862-02-08,0.573371511040968
1862-02-09,0.571558640583236
1862-02-10,0.569751502010038
1862-02-11,0.568809623021623
1862-02-12,0.567869301091024
1862-02-13,0.566930533644205
1862-02-14,0.565993318111387
1862-02-15,0.564853804714176
1862-02-16,0.5635127696188
1862-02-17,0.562174918312064
1862-02-18,0.560840243235248
1862-02-19,0.559508736847576
1862-02-20,0.558180391626175
1862-02-21,0.557681565369676
1862-02-22,0.556978895501115
1862-02-23,0.55627711098537
1862-02-24,0.55557621070691
1862-02-25,0.554876193551611
1862-02-26,0.554177058406751
1862-02-27,0.553478804161011
1862-02-28,0.552781429704473
1862-03-01,0.551865403632364
1862-03-02,0.551244488693838
1862-03-03,0.55062427235928
1862-03-04,0.550004753842677
1862-03-05,0.5493859323589
1862-03-06,0.548767807123702
1862-03-07,0.54815037735372
1862-03-08,0.547314087223874
1862-03-09,0.54647907298694
1862-03-10,0.545645332696342
1862-03-11,0.545593518885414
1862-03-12,0.545541709994662
1862-03-13,0.545489906023619
1862-03-14,0.545438106971817
1862-03-15,0.545166541464748
1862-03-16,0.544654747251222
1862-03-17,0.544143433502467
1862-03-18,0.543632599767429
1862-03-19,0.543122245595477
1862-03-20,0.542612370536407
1862-03-21,0.542864581250126
1862-03-22,0.542897029346166
1862-03-23,0.542929479381694
1862-03-24,0.542961931356825
1862-03-25,0.542994385271675
1862-03-26,0.543026841126361
1862-03-27,0.543059298920997
1862-03-28,0.5430917586557
1862-03-29,0.542904428021257
1862-03-30,0.542717162003459
1862-03-31,0.542529960580015
1862-04-01,0.542342823728646
1862-04-02,0.54240648591461
1862-04-03,0.542470155573476
1862-04-04,0.542533832706119
1862-04-05,0.542344406691448
1862-04-06,0.542155046814984
1862-04-07,0.541965753053635
1862-04-08,0.541776525384318
1862-04-09,0.541587363783954
1862-04-10,0.541398268229478
1862-04-11,0.5419560161771
1862-04-12,0.542259805661894
1862-04-13,0.542563765433664
1862-04-14,0.542867895587864
1862-04-15,0.543172196219998
1862-04-16,0.543217304309082
1862-04-17,0.543262416144196
1862-04-18,0.543307531725652
1862-04-19,0.543098263608823
1862-04-20,0.542889076096701
1862-04-21,0.543429371361674
1862-04-22,0.543970204340494
1862-04-23,0.544511575568304
1862-04-24,0.545053485580784
1862-04-25,0.545595934914142
1862-04-26,0.545879258780263
1862-04-27,0.546162729774336
1862-04-28,0.546446347972765
1862-04-29,0.546730113451992
1862-04-30,0.547014026288498
1862-05-01,0.547298086558805
1862-05-02,0.547825291016598
1862-05-03,0.548070168990272
1862-05-04,0.54831515642443
1862-05-05,0.548560253368003
1862-05-06,0.548805459869939
1862-05-07,0.549050775979213
1862-05-08,0.549296201744819
1862-05-09,0.549541737215772
1862-05-10,0.54950449314765
1862-05-11,0.550216151711522
1862-05-12,0.550928731938306
1862-05-13,0.55164223502164
1862-05-14,0.552356662156708
1862-05-15,0.553072014540242
1862-05-16,0.553510340734227
1862-05-17,0.553665570959525
1862-05-18,0.55382084471865
1862-05-19,0.553976162023809
1862-05-20,0.554131522887215
1862-05-21,0.555032294596099
1862-05-22,0.555934530559656
1862-05-23,0.556838233158113
1862-05-24,0.557459351246638
1862-05-25,0.558081162153394
1862-05-26,0.558703666651177
1862-05-27,0.559326865513644
1862-05-28,0.559950759515316
1862-05-29,0.560575349431575
1862-05-30,0.561200636038672
1862-05-31,0.561542232923946
1862-06-01,0.561884037735626
1862-06-02,0.562466066709645
1862-06-03,0.56304869857982
1862-06-04,0.563631933970662
1862-06-05,0.564215773507331
1862-06-06,0.564800217815632
1862-06-07,0.565100518473394
1862-06-08,0.565400978799092
1862-06-09,0.56570159887762
1862-06-10,0.566002378793919
1862-06-11,0.567069633514915
1862-06-12,0.568138900652611
1862-06-13,0.569210184001623
1862-06-14,0.56999803765232
1862-06-15,0.570786981784868
1862-06-16,0.571291550373421
1862-06-17,0.571796564994327
1862-06-18,0.572302026041873
1862-06-19,0.572807933910695
1862-06-20,0.573314288995777
1862-06-21,0.574073951511831
1862-06-22,0.574834620608655
1862-06-23,0.575596297620005
1862-06-24,0.576358983881404
1862-06-25,0.577122680730148
1862-06-26,0.5778873895053
1862-06-27,0.578653111547701
1862-06-28,0.579133621721199
1862-06-29,0.579614530907547
1862-06-30,0.580095839438082
1862-07-01,0.580577547644418
1862-07-02,0.581312360087879
1862-07-03,0.582048102552367
1862-07-04,0.58278477621497
1862-07-05,0.583235782415767
1862-07-06,0.583687137641799
1862-07-07,0.584138842163169
1862-07-08,0.584590896250191
1862-07-09,0.585043300173386
1862-07-10,0.585496054203487
1862-07-11,0.586749973617114
1862-07-12,0.587719363957088
1862-07-13,0.588690355861057
1862-07-14,0.58966295197502
1862-07-15,0.590637154949349
1862-07-16,0.591325546995772
1862-07-17,0.592014741368301
1862-07-18,0.592704739002056
1862-07-19,0.593108080122387
1862-07-20,0.593511695720124
1862-07-21,0.594718356859325
1862-07-22,0.595927471246061
1862-07-23,0.597139043867999
1862-07-24,0.598353079722947
1862-07-25,0.599569583818872
1862-07-26,0.600500274113307
1862-07-27,0.601432409084804
1862-07-28,0.602365990975881
1862-07-29,0.603301022032541
1862-07-30,0.604237504504271
1862-07-31,0.60517544064405
1862-08-01,0.606114832708356
1862-08-02,0.607130531473358
1862-08-03,0.608147932298638
1862-08-04,0.609167038036431
1862-08-05,0.610187851543747
1862-08-06,0.611210375682387
1862-08-07,0.612234613318947
1862-08-08,0.613260567324825
1862-08-09,0.613998998801017
1862-08-10,0.614738319427881
1862-08-11,0.616319075350512
1862-08-12,0.617903896074716
1862-08-13,0.619492792052839
1862-08-14,0.621085773764109
1862-08-15,0.622682851714697
1862-08-16,0.623975966780298
1862-08-17,0.625271767236332
1862-08-18,0.626570258659505
1862-08-19,0.627871446638103
1862-08-20,0.629175336772017
1862-08-21,0.631348808527912
1862-08-22,0.633529788492088
1862-08-23,0.63539182097975
1862-08-24,0.637259326240829
1862-08-25,0.63913232036057
1862-08-26,0.641010819471494
1862-08-27,0.642894839753539
1862-08-28,0.644784397434198
1862-08-29,0.646679508788658
1862-08-30,0.648246854564806
1862-08-31,0.649817999089405
1862-09-01,0.651392951569414
1862-09-02,0.653234613812435
1862-09-03,0.655081482927605
1862-09-04,0.656933573636145
1862-09-05,0.658790900700897
1862-09-06,0.660313281148108
1862-09-07,0.66183917961936
1862-09-08,0.663368604244349
1862-09-09,0.664901563171561
1862-09-10,0.66643806456831
1862-09-11,0.66888049032741
1862-09-12,0.671331867321299
1862-09-13,0.673450324517057
1862-09-14,0.675575466723774
1862-09-15,0.677707315036694
1862-09-16,0.679492422460655
1862-09-17,0.681282231926995
1862-09-18,0.683076755821075
1862-09-19,0.684876006560881
1862-09-20,0.686337014912789
1862-09-21,0.688709455441196
1862-09-22,0.691090096713463
1862-09-23,0.693478967076855
1862-09-24,0.695876094976623
1862-09-25,0.698281508956346
1862-09-26,0.700695237658266
1862-09-27,0.702772511732818
1862-09-28,0.704855944073258
1862-09-29,0.706945552936321
1862-09-30,0.709041356632864
1862-10-01,0.711143373528027
1862-10-02,0.713548756777464
1862-10-03,0.715962276035463
1862-10-04,0.718037840352216
1862-10-05,0.720119421700001
1862-10-06,0.722207037522105
1862-10-07,0.724300705312382
1862-10-08,0.726400442615401
1862-10-09,0.72850626702659
1862-10-10,0.730618196192389
1862-10-11,0.733041433345985
1862-10-12,0.73547270763626
1862-10-13,0.737912045719937
1862-10-14,0.740359474342155
1862-10-15,0.742815020336756
1862-10-16,0.744918446368361
1862-10-17,0.747027828662224
1862-10-18,0.748794917170096
1862-10-19,0.750566185712066
1862-10-20,0.752341644175969
1862-10-21,0.755116151394126
1862-10-22,0.757900890520038
1862-10-23,0.760695899287229
1862-10-24,0.76350121556838
1862-10-25,0.765920242281125
1862-10-26,0.768346933277984
1862-10-27,0.770781312841966
1862-10-28,0.773223405333019
1862-10-29,0.775673235188271
1862-10-30,0.778130826922274
1862-10-31,0.780596205127251
1862-11-01,0.782601414576232
1862-11-02,0.784911564702372
1862-11-03,0.787228534128228
1862-11-04,0.789552342983598
1862-11-05,0.791883011457695
1862-11-06,0.794220559799333
1862-11-07,0.796565008317097
1862-11-08,0.798464086887878
1862-11-09,0.800367693023114
1862-11-10,0.802275837516903
1862-11-11,0.805242131142803
1862-11-12,0.808219392190959
1862-11-13,0.811207661211755
1862-11-14,0.814206978905507
1862-11-15,0.816761863185923
1862-11-16,0.818900184169594
1862-11-17,0.821044103378201
1862-11-18,0.82319363546816
1862-11-19,0.825348795134259
1862-11-20,0.827509597109756
1862-11-21,0.830773298464137
1862-11-22,0.833591655886517
1862-11-23,0.836419574447387
1862-11-24,0.839257086582437
1862-11-25,0.842104224837395
1862-11-26,0.844961021868397
1862-11-27,0.847827510442364
1862-11-28,0.850703723437378
1862-11-29,0.853133990196544
1862-11-30,0.855571199674261
1862-12-01,0.858015371704292
1862-12-02,0.860826850481772
1862-12-03,0.863647541696671
1862-12-04,0.866477475535595
1862-12-05,0.869316682284064
1862-12-06,0.871707088572082
1862-12-07,0.874104067887327
1862-12-08,0.876507638304002
1862-12-09,0.878917817946008
1862-12-10,0.881334624987084
1862-12-11,0.884949060916708
1862-12-12,0.888578319986963
1862-12-13,0.891756186058909
1862-12-14,0.894945417288596
1862-12-15,0.898146054321791
1862-12-16,0.900925140668454
1862-12-17,0.903712826196603
1862-12-18,0.906509137514236
1862-12-19,0.909314101311681
1862-12-20,0.911664988854673
1862-12-21,0.91526606019019
1862-12-22,0.918881355736269
1862-12-23,0.922510931678458
1862-12-24,0.926154844424237
1862-12-25,0.929813150603897
1862-12-26,0.933485907071415
1862-12-27,0.936707499780395
1862-12-28,0.939940210664277
1862-12-29,0.943184078093463
1862-12-30,0.946439140570779
1862-12-31,0.949705436731931
1863-01-01,0.952546391809529
1863-01-02,0.955829479171887
1863-01-03,0.958656338208812
1863-01-04,0.961491557661678
1863-01-05,0.964335162256357
1863-01-06,0.967187176791848
1863-01-07,0.970047626140492
1863-01-08,0.972916535248191
1863-01-09,0.975793929134622
1863-01-10,0.978235565886597
1863-01-11,0.982020476849605
1863-01-12,0.985820032087977
1863-01-13,0.989634288262175
1863-01-14,0.993463302251885
1863-01-15,0.99730713115687
1863-01-16,1.00072664263893
1863-01-17,1.0037056329847
1863-01-18,1.00669349127012
