"bidder_num","price_currency","amount","accepted","auction","current_yield1","current_yield2","price_gold","gold_rate","ytm1","ytm2","ytm3"
1,96,2,2,"1861-02-13; Loan of Feb 1861",0.0625,0.0625,96,1,0.0633246247292706,0.0633246247292706,0.0633246247292706
53,87,18,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0689655172413793,87,1,0.0720122533416454,0.0720122533416454,0.0720122533416454
53,88,15,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0681818181818182,88,1,0.0709860926364276,0.0709860926364276,0.0709860926364276
53,88.01,10,0,"1861-02-13; Loan of Feb 1861",0.0681740711282809,0.0681740711282809,88.01,1,0.0709759139636601,0.0709759139636601,0.0709759139636601
53,89.02,10,0,"1861-02-13; Loan of Feb 1861",0.0674005841383959,0.0674005841383959,89.02,1,0.0699561585964578,0.0699561585964578,0.0699561585964578
53,90,2,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
53,90.01,20,0,"1861-02-13; Loan of Feb 1861",0.0666592600822131,0.0666592600822131,90.01,1,0.0689722182196681,0.0689722182196681,0.0689722182196681
53,90.17,50,50,"1861-02-13; Loan of Feb 1861",0.0665409781523788,0.0665409781523788,90.17,1,0.0688146188036041,0.0688146188036041,0.0688146188036041
53,90.25,20,20,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0664819944598338,90.25,1,0.0687359656321425,0.0687359656321425,0.0687359656321425
53,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
53,90.6,15,15,"1861-02-13; Loan of Feb 1861",0.0662251655629139,0.0662251655629139,90.6,1,0.0683930001032759,0.0683930001032759,0.0683930001032759
53,90.8,20,20,"1861-02-13; Loan of Feb 1861",0.066079295154185,0.066079295154185,90.8,1,0.068197849496444,0.068197849496444,0.068197849496444
53,91,170,170,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
54,90.3,100,100,"1861-02-13; Loan of Feb 1861",0.0664451827242525,0.0664451827242525,90.3,1,0.0686868568695091,0.0686868568695091,0.0686868568695091
55,90.18,10,10,"1861-02-13; Loan of Feb 1861",0.0665335994677312,0.0665335994677312,90.18,1,0.0688047818234914,0.0688047818234914,0.0688047818234914
55,90.25,10,10,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0664819944598338,90.25,1,0.0687359656321425,0.0687359656321425,0.0687359656321425
55,90.5,5,5,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
56,90.27,100,100,"1861-02-13; Loan of Feb 1861",0.0664672648720505,0.0664672648720505,90.27,1,0.0687163175650898,0.0687163175650898,0.0687163175650898
